name	month_average	overall	Correlation Coefficient
jorge_humberto.xml	0	0	
joshledet.xml	0	0	
joshuaradin.xml	0	0	
joshuatopolsky.xml	0	0	
joshua.xml	0	0	
jpmontoya.xml	0	0	
Jules_com.xml	0	0	
JulieAlexandria.xml	5	9	
JULIENNEGAGE.xml	0	0	
julienneirwin31.xml	0	0	
Julienne_L.xml	0	0	
Julienne_Taylor.xml	0	0	
JungMin0403.xml	0	0	
jungsungha.xml	0	0	
Jung.xml	0	0	
jus_tan.xml	0	0	
Kai_Hazlewood.xml	3	14	
KarenaCheow.xml	8	13	
KarenaGraham.xml	0	6	
karena_standard.xml	0	0	
Karinwwts.xml	0	0	
KarriKoira.xml	1	3	
karrio.xml	0	0	
KarriPeifer.xml	4	7	
karrisaarinen.xml	0	0	
kciao.xml	0	0	
KeepUpWeb.xml	0	0	
KendraLust.xml	5	9	
KendraMorris.xml	0	0	
KendraThornton.xml	1	6	
KenLayne.xml	2	9	
kettynyc.xml	0	0	
keturahAriel.xml	0	0	
KeturahColley.xml	0	0	
kevloria.xml	0	0	
kikkanimal.xml	0	0	
kin3tic.xml	0	0	
kostopoulouV.xml	0	0	
krysellsworth.xml	0	0	
KrystleLina.xml	2	9	
kurt13warner.xml	0	0	
KurtHSchneider.xml	7	10	
KurtHummelGLEE.xml	93	9	
kurtjmac.xml	0	0	
lady_echols.xml	0	0	
LadyVasiliki.xml	0	0	
lai_0310.xml	0	0	
LAICDGroup.xml	4	8	
Lake_Ellsworth.xml	2	7	
lateandsoon.xml	0	0	
LaTonyaHolmes.xml	1	13	
LaTonyaSadler.xml	2	10	
LATSeema.xml	3	9	
LayneCBeachley.xml	2	9	
LaynePavoggi.xml	1	9	
leannrimes.xml	0	0	
leatha_tukes.xml	0	0	
LeeAnnePace.xml	0	0	
leeannewong.xml	0	0	
LeeAnn_L.xml	0	0	
LeKishaE.xml	33	5	
LekishaKelly.xml	0	0	
lekishamckinley.xml	0	0	
lernys.xml	0	0	
LettyBRadio.xml	5	9	
LettyCPogrebin.xml	7	7	
LettyEdwards.xml	0	8	
lettyho.xml	0	0	
LFabianOfficial.xml	0	0	
L_Hilt.xml	0	0	
Lileonie.xml	0	0	
LilliaAmor.xml	2	9	
lilliambrando.xml	0	0	
Lilliami5.xml	2	8	
LilliamMdez.xml	189	7	
lilliamr.xml	0	0	
